City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
525,Dhidhdhoo,MV,83.35,clear sky,6.88,73.1,Dhidhoo beach
526,Araguaina,BR,91.69,few clouds,-7.19,-48.21,Hotel São Vicente
528,Pingxiang,CN,76.01,light rain,27.62,113.85,Haiyuntian Hotel
531,Santa Rosa,PH,80.6,overcast clouds,14.31,121.11,Amethyst Econotel
533,Minervino Murge,IT,82.0,clear sky,41.08,16.08,B&B Le Mura
534,Rio De Jesus,PA,76.86,light rain,7.98,-81.16,Finca El Mono
539,Iacu,BR,77.74,clear sky,-12.77,-40.21,Pousada e Restaurante Portal da Chapada
541,Naze,JP,84.2,broken clouds,28.37,129.48,奄美ポートタワーホテル
544,Kismayo,SO,76.95,broken clouds,-0.36,42.55,Agan-Hotel
546,Adamas,GR,78.8,clear sky,36.73,24.43,Aphrodite of Milos
547,Altamont,US,86.0,haze,42.21,-121.74,Microtel Inn & Suites by Wyndham Klamath Falls
548,Tshikapa,CD,76.57,broken clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
551,Chippewa Falls,US,80.01,clear sky,44.94,-91.39,AmericInn by Wyndham Chippewa Falls
552,Laguna,US,93.99,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
553,Wanning,CN,78.73,few clouds,18.8,110.4,Paradise Hotel
554,Becerril,CO,82.31,light rain,9.7,-73.28,Hotel La Candelaria
560,Keti Bandar,PK,85.12,overcast clouds,24.14,67.45,Haji laloo memon house
563,Matay,EG,83.73,clear sky,28.42,30.78,Nag Aespen
565,Gorontalo,ID,75.69,broken clouds,0.54,123.06,Maqna Hotel by Prasanthi
571,Mandan,US,93.99,clear sky,46.83,-100.89,Twin City Estates
575,Methoni,GR,82.99,clear sky,36.82,21.7,Methoni Beach Hotel
577,Morgan City,US,91.0,broken clouds,29.7,-91.21,Hampton Inn & Suites Morgan City
586,Cheyenne,US,93.0,haze,41.14,-104.82,The Historic Plains Hotel & Restaurant
589,Iralaya,HN,91.4,scattered clouds,15.0,-83.23,Iglesia morava renovada
590,Marsh Harbour,BS,84.96,scattered clouds,26.54,-77.06,Abaco Beach Resort
595,Wenling,CN,82.0,clear sky,28.37,121.36,Hanting Express Wenling Wanchang North Road
603,Evansville,US,80.01,broken clouds,37.97,-87.56,Econo Lodge
604,Yarmouth,US,81.0,clear sky,41.71,-70.23,The Inn At Cape Cod
607,Ajdabiya,LY,76.78,clear sky,30.76,20.23,فندق التوجان
608,Yenangyaung,MM,76.77,overcast clouds,20.47,94.88,Hotel Country
612,Ponnani,IN,77.0,mist,10.77,75.93,Rouba Residency
613,Lalmohan,BD,80.85,moderate rain,22.34,90.74,Sundorbon courier service
